Line,Product Family,Base Polymer,Base Type,Additional Treatment,Product Group,Color Group,Width Material Attri,Thickness Material A,Uptime,Rate,Yield,Quantity Good,Run Time Hours,Net Quantity Produced,Downtime,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,EBITDA (€),Total Depreciation,EBIT,Product,EBITDA (€) Rank,EBITDA (€) / Hr
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,555,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,8931.2,8931.2,29651.58,0.0,29651.58,0.0,0.0,0.0,0.0,29651.58,3.3199995521318524,0.0,0.0,0.0,29651.58,18680.67,0.0,10970.91,245.05,11.32,626.38,10088.16,1632.15,1431.4,103.55,261.69,196.51,6462.86,445.67,1165.08,561.68,4290.43,4290.43,1062.78,3227.65,PETG-G10F22-T52-GC-555-45,479.0,619.0935997626299
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,560,50,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,39802.8,39802.8,131210.48,0.0,131716.52,0.0,0.0,0.0,-255.33,131461.19,3.302812616197856,-153.91,0.0,-5680.33,125780.86,82717.14,0.0,48744.05,6309.78,928.61,3069.47,32755.86,8701.73,7024.66,729.2,1360.79,971.69,13967.79,1986.13,5192.25,2503.22,4286.19,4286.19,5559.22,-1273.03,PETG-G10F22-T52-GC-560-50,480.0,138.7787919593596
K18,Cards Overlay,PVC,179/01,SB6,Cards Coated Overlay,GC,309,70,1.0,964.72,0.97,139588.0,149.4197222222222,144148.0,0.3538888888888889,8906.0,8906.0,42036.98,0.0,42036.98,0.0,0.0,0.0,0.0,42036.98,4.720074107343363,0.0,0.0,0.0,42036.98,21905.16,0.0,20131.82,365.98,138.46,1696.36,17931.02,4507.12,3741.23,1213.9,1499.69,243.81,6725.27,329.53,1554.81,560.09,4280.84,4280.84,1047.93,3232.91,PVC-179/01-SB6-GC-309-70,481.0,463.71120197619587
E27,Shrink Sleeve,PET,G10F22,T38,Shrink Sleeve,GC,887,40,0.93,720.99,0.99,1742665.0119999996,2435.4444444444443,1755925.4599999995,177.60777777777776,9387.8,9387.8,33116.04,0.0,33513.92,0.0,0.0,0.0,0.0,33513.92,3.569943969833188,0.0,0.0,-1570.85,31943.07,19629.97,0.0,13883.95,878.27,15.72,705.25,10713.86,1861.48,1660.1,120.14,307.44,221.45,6543.25,468.45,1224.64,590.4,4259.76,4259.76,1203.99,3055.77,PETG-G10F22-T38-GC-887-40,482.0,327.1527261339185
E27,Shrink Sleeve,PET,G10F22,T38,Shrink Sleeve,GC,830,50,0.93,720.99,0.99,1742665.0119999996,2435.4444444444443,1755925.4599999995,177.60777777777776,2012.7,2012.7,10566.68,0.0,10566.68,0.0,0.0,0.0,0.0,10566.68,5.2500024842251705,0.0,0.0,-495.45,10071.23,3857.71,0.0,6708.97,177.41,2.31,191.8,5842.0,474.04,459.06,29.13,72.93,58.42,4748.42,100.43,262.56,126.58,4258.85,4258.85,320.4,3938.45,PETG-G10F22-T38-GC-830-50,483.0,1525.6065292890148
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Decor,DF,1565,155,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,2309.0,2309.0,12296.23,0.0,12296.23,0.0,0.0,0.0,0.0,12296.23,5.325348635773062,0.0,0.0,-57.72,12238.51,2862.74,3346.38,6087.11,0.0,29.0,269.32,5731.07,413.72,457.23,237.65,251.08,112.59,4258.8,0.0,0.0,0.0,4258.8,4258.8,139.22,4119.58,PVC-225/05-ZZZ-DF-1565-155,484.0,1912.6604642702468
K40,Dec. Surfaces/others,PVC,252/05,ZZZ,2D Drawer Wrapping Uni,OP,1750,160,0.99,773.93,0.86,140346.4,211.9533333333333,164037.80000000005,1.378888888888889,4495.0,4495.0,16096.5,0.0,16096.5,0.0,0.0,0.0,0.0,16096.5,3.5809788654060064,0.0,0.0,-391.3,15705.2,8735.22,0.0,7361.28,0.0,28.39,241.2,6700.39,340.15,400.66,206.45,218.07,99.81,5435.25,238.15,661.53,282.69,4252.88,4252.88,120.03,4132.85,PVC-252/05-ZZZ-OP-1750-160,485.0,732.2428072080089
K10,Cards Core,PVC,230/18,ZZZ,Cards Core,OP,310,440,0.84,909.63,0.91,976035.304,1180.2752777777778,1073609.603,231.04749999999999,2100.0,2100.0,9744.0,0.0,10584.0,0.0,0.0,0.0,-147.0,10437.0,4.97,0.0,0.0,-141.62,10295.38,3568.18,0.0,6868.82,219.83,8.5,197.05,6301.82,455.59,567.64,165.01,245.28,56.28,4812.02,77.7,366.62,132.07,4235.63,4235.63,114.9,4120.73,PVC-230/18-ZZZ-OP-310-440,486.0,1834.693389
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Decor,DF,1320,155,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,6923.0,6923.0,24820.64,0.0,24820.64,0.0,0.0,0.0,0.0,24820.64,3.5852433915932407,0.0,0.0,-212.3,24608.34,8955.06,5636.08,10229.5,0.0,83.84,785.78,9147.58,1201.54,1979.93,667.81,813.26,258.49,4226.55,0.0,0.0,0.0,4226.55,4226.55,332.03,3894.52,PVC-225/05-ZZZ-DF-1320-155,487.0,633.091157662863
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,OP,1590,165,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,3476.0,3476.0,10728.6,0.0,10728.6,0.0,0.0,0.0,0.0,10728.6,3.0864787111622567,0.0,0.0,-157.66,10570.94,4736.71,0.0,5991.89,36.76,1.0,211.71,5584.76,390.66,444.95,220.05,240.26,99.95,4188.89,0.0,0.0,0.0,4188.89,4188.89,130.77,4058.12,PVC-225/05-ZZZ-OP-1590-165,488.0,1249.6654318469507
K17,Tape,PVC,240/15,ZZZ,Tape,TP,1280,70,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,2973.0,2973.0,11648.51,0.0,11648.51,0.0,0.0,0.0,0.0,11648.51,3.918099562731248,0.0,0.0,-762.98,10885.53,4752.02,0.0,6896.49,0.0,34.64,307.01,5791.86,341.96,291.96,202.68,172.18,64.04,4719.04,110.0,256.21,186.97,4165.86,4165.86,103.1,4062.76,PVC-240/15-ZZZ-TP-1280-70,489.0,1418.8585667003026
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,375,40,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,15975.8,15975.8,55761.79,0.0,55761.79,-18.34,0.0,0.0,-1672.31,54071.14,3.384565405175328,0.0,0.0,-1940.74,52130.4,33463.5,0.0,20607.64,1278.7,135.69,1262.35,15990.16,3137.99,3708.37,225.67,510.71,367.96,8039.46,797.18,2084.08,1004.72,4153.48,4153.48,2218.08,1935.4,PETG-G10F22-T52-GC-375-40,490.0,335.0540076365503
E27,Shrink Sleeve,PET,G10F22,T38,Shrink Sleeve,GC,210,45,0.93,720.99,0.99,1742665.0119999996,2435.4444444444443,1755925.4599999995,177.60777777777776,3790.7,3790.7,15466.06,0.0,16110.48,0.0,0.0,0.0,0.0,16110.48,4.2500013190175965,-556.78,0.0,-841.99,15268.49,7928.89,0.0,8181.59,79.87,3.63,322.72,6933.38,991.83,526.16,65.59,187.22,90.52,5072.06,189.16,494.5,238.4,4150.0,4150.0,530.85,3619.15,PETG-G10F22-T38-GC-210-45,491.0,789.3287519455511
K10,Cards Core,PVC,230/18,ZZZ,Cards Core,WH,300,800,0.84,909.63,0.91,976035.304,1180.2752777777778,1073609.603,231.04749999999999,2000.0,2000.0,9400.0,0.0,9400.0,0.0,0.0,0.0,0.0,9400.0,4.7,0.0,0.0,-249.78,9150.22,2947.21,0.0,6452.79,59.37,7.98,172.57,5963.09,390.01,487.33,145.01,208.82,51.18,4680.74,74.0,349.16,125.78,4131.8,4131.8,97.58,4034.22,PVC-230/18-ZZZ-WH-300-800,492.0,1879.204617
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,327,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,5429.7,5429.7,21610.21,0.0,21705.08,0.0,0.0,0.0,-432.21,21272.87,3.9178720739635713,0.0,0.0,-796.17,20476.7,11136.54,0.0,10136.33,143.5,6.57,551.61,8638.48,1335.35,1407.67,82.09,205.74,164.38,5443.25,270.94,708.31,341.47,4122.53,4122.53,918.2,3204.33,PETG-G10F22-T52-GC-327-45,493.0,978.4830307751809
K18,Other Technical,PVC,459/01,ZZZ,Other Technical,BK,1000,500,1.0,2075.3,0.85,33470.0,18.911944444444448,39248.0,0.0,3369.0,3369.0,9365.82,0.0,9365.82,0.0,0.0,0.0,0.0,9365.82,2.78,0.0,0.0,-692.95,8672.87,1563.05,0.0,7802.77,204.55,8.04,204.16,6693.07,825.33,542.12,191.76,260.94,48.66,4824.26,130.55,363.62,211.88,4118.21,4118.21,121.99,3996.22,PVC-459/01-ZZZ-BK-1000-500,494.0,2536.8124704660136
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,290,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,4962.9,4962.9,20255.77,0.0,20429.78,0.0,0.0,0.0,0.0,20429.78,4.116500433214451,0.0,0.0,-599.96,19829.82,10261.29,0.0,10168.49,197.53,46.96,577.53,8746.51,1840.44,947.76,148.33,345.85,160.84,5303.29,247.65,647.41,312.11,4096.12,4096.12,979.07,3117.05,PETG-G10F22-T52-GC-290-45,495.0,1063.6590881944026
E27,Shrink Sleeve,PET,G10F22,T38,Shrink Sleeve,GC,335,45,0.93,720.99,0.99,1742665.0119999996,2435.4444444444443,1755925.4599999995,177.60777777777776,5014.1,5014.1,19254.14,0.0,19602.36,0.0,0.0,0.0,0.0,19602.36,3.9094473584491736,0.0,0.0,-793.08,18809.28,10655.63,0.0,8946.73,117.97,6.0,399.92,7629.76,947.96,1059.83,57.32,150.87,118.51,5295.27,250.21,654.1,315.34,4075.62,4075.62,665.54,3410.08,PETG-G10F22-T38-GC-335-45,496.0,586.0436097804192
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,WH,1700,155,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,39010.0,39010.0,86418.65,0.0,86418.65,0.0,-3085.15,0.0,-5185.13,78148.37,2.003290694693668,0.0,0.0,-2143.61,76004.76,47138.99,0.0,31009.38,0.0,238.59,2002.56,26624.62,4134.79,3470.78,1889.87,1981.22,816.18,14331.78,2066.75,5741.11,2453.35,4070.57,4070.57,1152.94,2917.63,PVC-225/05-ZZZ-WH-1700-155,497.0,108.20662354011793
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,559,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,14614.0,14614.0,51120.85,0.0,51120.85,0.0,0.0,0.0,-1533.63,49587.22,3.3931312440125905,0.0,0.0,-1454.63,48132.59,30651.62,0.0,18935.6,1400.14,257.47,1153.71,14669.65,3165.6,2775.71,253.88,500.59,360.26,7613.61,729.26,1906.4,919.09,4058.86,4058.86,2068.02,1990.84,PETG-G10F22-T52-GC-559-45,498.0,357.9317939236349
K18,Dec. Surfaces/others,PVC,153/07,ZZZ,2D Coil Coating Metal Uni,WH,1100,120,0.95,761.06,0.91,922745.2,1325.985555555555,1009155.2,76.77972222222223,4616.0,4616.0,18997.44,0.0,18997.44,0.0,0.0,0.0,-474.94,18522.5,4.012673310225304,0.0,0.0,-552.38,17970.12,7616.61,0.0,10905.89,0.0,61.56,697.51,9594.44,1164.9,1694.6,587.39,659.5,218.22,5269.83,244.56,679.34,290.3,4055.63,4055.63,145.09,3910.54,PVC-153/07-ZZZ-WH-1100-120,499.0,668.6693604419411
K18,Cards Core,PVC,223/01,ZZZ,Cards Core,WH,484,305,0.76,832.41,0.67,26412.8,47.297222222222224,39370.8,14.912500000000001,3746.0,3746.0,21202.36,-53.15,21149.21,0.0,0.0,0.0,-262.22,20886.99,5.5758115323011195,0.0,0.0,-185.64,20701.35,11490.11,0.0,9396.88,430.9,19.11,440.08,8321.15,982.2,1242.56,374.27,534.97,131.19,5055.96,138.6,653.98,235.59,4027.79,4027.79,247.36,3780.43,PVC-223/01-ZZZ-WH-484-305,500.0,895.0274089428723
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,655,50,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,8932.0,8932.0,29672.05,0.0,29700.78,-564.99,0.0,0.0,-191.28,28944.51,3.2405407523510967,0.0,0.0,-1279.87,27664.64,16101.45,0.0,12843.06,980.82,445.84,553.3,9583.23,1758.69,993.09,220.28,234.81,182.97,6193.39,445.71,1165.18,561.74,4020.76,4020.76,1119.39,2901.37,PETG-G10F22-T52-GC-655-50,501.0,580.129225526198
K17,Tape,PVC,240/15,ZZZ,Tape,TL,1840,32,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,79559.9,79389.205,180600.97,0.0,180600.97,0.0,0.0,-387.48,0.0,180213.49,2.269999932610485,0.0,0.0,-4350.31,175863.18,125605.71,0.0,54607.78,0.0,326.08,6773.31,43158.08,7703.21,6369.23,4799.71,3922.55,1550.12,18813.26,2943.73,6856.47,5003.53,4009.53,4009.53,2347.64,1661.89,PVC-240/15-ZZZ-TL-1840-32,502.0,51.14007486786145
E27,Shrink Sleeve,PET,G10F22,T60,Shrink Sleeve,GC,557,40,0.4,1209.45,0.99,192653.125,161.06805555555556,194803.125,244.35888888888877,10289.0,10289.0,35908.62,0.0,35908.62,-343.23,0.0,0.0,-1066.96,34498.43,3.352942948780252,0.0,0.0,-476.59,34021.84,21146.79,0.0,13351.64,929.61,19.49,766.44,11159.51,2059.86,1873.52,136.5,346.06,239.59,6503.98,513.43,1342.2,647.07,4001.28,4001.28,1316.38,2684.9,PETG-G10F22-T60-GC-557-40,503.0,470.34192788414816
E26,Shrink Sleeve,PET,G10F12,T15,Capsule (TDO),GC,230,75,0.97,308.04,0.88,130927.88200000001,480.4711111111111,148002.75199999998,17.21027777777778,5320.1,5320.1,27067.67,0.0,27496.52,0.0,-565.9,0.0,-333.55,26597.07,4.9993552752767805,0.0,0.0,-492.44,26104.63,15948.93,0.0,10648.14,129.2,8.65,849.51,9168.34,1504.59,1329.49,247.1,630.06,187.86,5269.24,265.47,694.0,334.58,3975.19,3975.19,889.79,3085.4,PETG-G10F12-T15-GC-230-75,504.0,230.1681411251668
E26,Shrink Sleeve,PET,G10F12,T15,Capsule (TDO),WH,260,70,0.97,308.04,0.88,130927.88200000001,480.4711111111111,148002.75199999998,17.21027777777778,3066.5,3066.5,17325.73,0.0,17679.28,0.0,-420.77,0.0,-214.66,17043.85,5.5580792434371435,0.0,0.0,-196.62,16847.23,8976.82,0.0,8067.03,89.56,5.52,504.05,7271.28,1074.78,822.37,158.32,406.42,102.46,4706.93,153.02,400.02,192.85,3961.04,3961.04,548.69,3412.35,PETG-G10F12-T15-WH-260-70,505.0,397.89948201532695
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,TR,875,50,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,25099.7,25099.7,85873.18,0.0,88323.9,0.0,0.0,0.0,-3011.97,85311.93,3.3989222978760703,0.0,0.0,-833.4,84478.53,52407.0,0.0,32904.93,3509.04,27.36,2835.01,25700.12,7101.96,6150.68,427.7,1069.23,885.04,10065.51,1252.48,3274.25,1578.52,3960.26,3960.26,4739.57,-779.31,PETG-G10F22-T52-TR-875-50,506.0,203.33890334944243
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,481,50,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,14309.9,14057.9,49941.51,0.0,49941.51,0.0,0.0,-879.48,-1471.87,47590.16,3.385296523662852,0.0,0.0,-1637.53,45952.63,29520.22,0.0,18069.94,1367.56,175.31,1069.8,13819.74,2820.35,2639.83,214.94,445.61,330.02,7368.99,701.49,1833.85,884.11,3949.54,3949.54,1892.64,2056.9,PETG-G10F22-T52-GC-481-50,507.0,362.0690273511691
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,OP,1450,155,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,15396.4,15396.4,38720.22,0.0,38720.22,0.0,-1382.31,0.0,-2323.21,35014.7,2.2742134524953888,0.0,0.0,-852.9,34161.8,19980.1,0.0,15034.6,0.0,116.39,946.17,13119.14,1433.88,1612.5,821.94,877.14,386.16,7987.52,815.7,2265.9,968.28,3937.64,3937.64,484.26,3453.38,PVC-225/05-ZZZ-OP-1450-155,508.0,265.21091317450833
K18,Cards Overlay,PVC,278/01,SB6,Cards Coated Overlay,TP,340,80,1.0,880.3,0.96,512001.7,609.0180555555554,536118.7,1.5505555555555555,5645.0,5645.0,32458.75,0.0,32458.75,0.0,0.0,0.0,0.0,32458.75,5.75,-1136.06,-811.46,-2537.24,29921.51,14980.28,0.0,17478.47,244.84,23.26,1166.74,13506.39,2951.56,3126.58,790.8,1024.98,140.06,5472.41,208.87,985.5,355.01,3923.03,3923.03,812.96,3110.07,PVC-278/01-SB6-TP-340-80,509.0,611.7702938883968
E26,Shrink Sleeve,PET,G25F21,T42,Shrink Sleeve,MC,607,50,0.72,531.62,0.86,612708.3749999999,1343.6008333333336,714283.788,520.1650000000001,10516.2,10516.2,51529.38,0.0,51529.38,-18.35,0.0,0.0,-1545.34,49965.69,4.751306555599932,0.0,0.0,-1134.83,48830.86,30479.13,0.0,19486.56,894.7,18.8,2172.59,15265.64,3125.16,2915.75,724.0,1304.87,716.05,6479.81,524.75,1371.83,661.37,3921.86,3921.86,2454.96,1466.9,PETG-G25F21-T42-MC-607-50,510.0,198.2597528765143
K18,Cooling Tower,PVC,459/01,ZZZ,Cooling Tower,BK,668,420,0.98,1821.12,0.97,1479260.2959999999,838.81,1527577.296,19.688888888888886,5808.5,5808.5,10673.91,0.0,10673.91,0.0,0.0,0.0,0.0,10673.91,1.8376362227769647,0.0,0.0,-828.21,9845.7,2557.07,0.0,8116.84,125.54,11.97,204.72,6946.4,853.31,595.02,246.3,267.11,66.33,4918.33,135.45,500.58,365.29,3917.01,3917.01,107.81,3809.2,PVC-459/01-ZZZ-BK-668-420,511.0,1228.0873291211158
K10,Cards Core,PVC,280/06,ZZZ,Cards Core,WH,349,120,0.94,928.88,0.94,191694.597,218.4408333333334,202904.597,13.877222222222226,2190.0,2190.0,10650.64,0.0,10650.64,0.0,0.0,0.0,0.0,10650.64,4.8633059360730595,0.0,0.0,0.0,10650.64,3304.89,0.0,7345.75,98.99,14.06,336.14,6896.56,749.54,922.51,279.28,400.5,99.12,4445.61,81.03,382.33,137.73,3844.52,3844.52,186.86,3657.66,PVC-280/06-ZZZ-WH-349-120,512.0,1630.6382363470318
E27,Shrink Sleeve,PET,G10F22,T38,Shrink Sleeve,GC,785,50,0.93,720.99,0.99,1742665.0119999996,2435.4444444444443,1755925.4599999995,177.60777777777776,4852.1,4852.1,18715.55,0.0,18974.89,0.0,0.0,0.0,0.0,18974.89,3.91065518023124,0.0,0.0,-999.79,17975.1,9950.98,0.0,9023.91,358.41,5.87,399.49,7260.35,1032.85,870.12,64.29,161.53,126.13,5005.43,242.12,632.95,305.14,3825.22,3825.22,674.83,3150.39,PETG-G10F22-T38-GC-785-50,513.0,568.4024170565322
K40,Dec. Surfaces/others,PVC,252/29,ZZZ,2D Uni,OP,1440,180,1.0,769.23,0.85,169564.90000000002,259.40916666666664,199546.6,1.1411111111111112,16865.0,16865.0,44771.04,0.0,44771.04,0.0,-1598.31,0.0,-2686.26,40486.47,2.4006208123332344,0.0,0.0,-1014.07,39472.4,21180.86,0.0,19305.61,0.0,90.86,1478.6,16722.08,2364.74,2612.7,1381.54,1451.54,657.14,8254.42,893.51,2482.03,1060.65,3818.23,3818.23,803.04,3015.19,PVC-252/29-ZZZ-OP-1440-180,514.0,174.15339833382745
K18,Cards Overlay,PVC,278/01,SB6,Cards Coated Overlay,GC,485,50,1.0,880.3,0.96,512001.7,609.0180555555554,536118.7,1.5505555555555555,1670.8,1670.8,15402.22,0.0,15402.22,0.0,0.0,0.0,0.0,15402.22,9.21847019391908,-539.08,0.0,-923.55,14478.67,4916.98,0.0,10485.24,218.17,11.63,660.79,8671.1,1600.34,1738.79,423.41,587.45,59.04,4262.07,61.82,291.69,105.08,3803.48,3803.48,562.13,3241.35,PVC-278/01-SB6-GC-485-50,515.0,2003.9522647833373
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,580,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,6653.5,6653.5,24560.07,0.0,25419.68,0.0,0.0,0.0,-474.12,24945.56,3.7492387465243855,0.0,0.0,-1835.21,23110.35,14004.6,0.0,10940.96,209.08,54.65,495.03,8346.99,1254.9,1231.76,96.29,193.34,151.24,5419.46,332.0,867.95,418.43,3801.08,3801.08,873.38,2927.7,PETG-G10F22-T52-GC-580-45,516.0,736.2446590816863
K17,Tape,PVC,240/15,ZZZ,Tape,TL,1380,39,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,72437.5,70639.5,194839.45,0.0,194839.45,0.0,0.0,-4837.95,-33906.96,156094.54,2.209734496988229,0.0,0.0,-2586.36,153508.18,110917.53,0.0,45177.01,0.0,415.15,5519.38,36656.12,7164.48,4642.63,3521.48,3159.0,1244.94,16923.59,2613.66,6087.72,4442.51,3779.7,3779.7,1974.69,1805.01,PVC-240/15-ZZZ-TL-1380-39,517.0,54.18000730469497
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,595,40,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,13429.5,13429.5,46943.12,0.0,46943.12,0.0,0.0,0.0,-1408.3,45534.82,3.3906563907814884,0.0,0.0,-1420.18,44114.64,27911.61,0.0,17623.21,1380.44,251.32,1016.66,13554.61,2798.67,2738.13,215.3,465.51,310.68,7026.32,670.13,1751.86,844.57,3759.76,3759.76,1829.33,1930.43,PETG-G10F22-T52-GC-595-40,518.0,360.79921831788226
K18,Cards Overlay,PVC,278/01,SB6,Cards Coated Overlay,TP,484,80,1.0,880.3,0.96,512001.7,609.0180555555554,536118.7,1.5505555555555555,5506.8,5506.8,30562.74,0.0,30562.74,0.0,0.0,0.0,-385.47,30177.27,5.4800010895619975,0.0,0.0,-257.73,29919.54,14941.49,0.0,15235.78,633.41,24.63,1057.19,13262.82,2692.41,3297.09,742.01,967.4,293.04,5270.87,203.75,961.38,346.32,3759.42,3759.42,675.27,3084.15,PVC-278/01-SB6-TP-484-80,519.0,600.9692427544127
K18,Cards Overlay,PVC,278/01,ZZZ,Cards Uncoated Overlay,GC,293,80,0.3,691.23,0.89,193869.9,315.3847222222222,218003.9,720.2116666666667,2050.0,2050.0,10168.0,0.0,10168.0,0.0,-242.0,0.0,0.0,9926.0,4.841951219512196,0.0,0.0,-338.87,9587.13,3657.38,0.0,6268.62,64.09,6.67,186.7,5672.29,496.55,477.08,137.0,210.03,43.69,4307.94,75.85,357.89,128.92,3745.28,3745.28,82.54,3662.74,PVC-278/01-ZZZ-GC-293-80,520.0,1262.8536070243904
K18,Construction,PVC,202/11,ZZZ,Construction,OP,345,450,0.83,1303.82,0.93,101930.1,83.90027777777779,109391.1,17.552222222222216,6473.0,6473.0,16403.55,0.0,16403.55,-597.96,0.0,0.0,0.0,15805.59,2.441771975899892,0.0,0.0,-189.06,15616.53,6253.93,0.0,9551.66,76.01,140.21,461.67,8684.71,1852.67,808.03,437.53,526.74,126.42,4933.32,239.51,557.84,407.09,3728.88,3728.88,242.78,3486.1,PVC-202/11-ZZZ-OP-345-450,521.0,751.0873353313764
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,488,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,5354.9,5354.9,20080.88,0.0,20348.63,0.0,-203.49,0.0,0.0,20145.14,3.762001157818073,0.0,0.0,-1469.96,18675.18,10263.6,0.0,9881.54,574.38,5.8,422.46,7408.94,1067.78,968.77,66.03,166.0,130.94,5009.42,267.21,698.55,336.77,3706.89,3706.89,709.79,2997.1,PETG-G10F22-T52-GC-488-45,522.0,892.1207526937944
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,670,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,7647.0,7340.5,27128.23,0.0,27320.88,0.0,-168.67,-1051.3,0.0,26100.91,3.5557400722021657,0.0,0.0,-936.16,25164.75,15093.96,0.0,11006.95,498.42,9.88,603.55,8958.94,1558.03,1375.94,98.05,246.77,188.66,5491.49,366.29,957.57,461.65,3705.98,3705.98,1020.22,2685.76,PETG-G10F22-T52-GC-670-45,523.0,650.6429623595124
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,OP,1600,155,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,14101.9,14101.9,35676.16,0.0,35676.16,0.0,-1273.64,0.0,-2140.57,32261.95,2.287773278778037,0.0,0.0,-753.77,31508.18,19258.47,0.0,13003.48,0.0,89.25,713.06,11447.4,1361.95,1056.71,601.05,693.87,327.03,7406.79,747.12,2075.38,886.87,3697.42,3697.42,383.41,3314.01,PVC-225/05-ZZZ-OP-1600-155,524.0,271.89155828647205
K40,Dec. Surfaces/others,PVC,252/29,ZZZ,2D Uni,OP,1590,120,1.0,769.23,0.85,169564.90000000002,259.40916666666664,199546.6,1.1411111111111112,5809.0,5809.0,18714.3,0.0,18714.3,0.0,-668.1,0.0,-1122.85,16923.35,2.9132983301773114,0.0,0.0,-338.91,16584.44,7489.4,0.0,9433.95,0.0,54.59,587.9,8452.55,906.19,999.74,526.51,552.49,251.33,5216.29,307.76,854.91,365.32,3688.3,3688.3,306.75,3381.55,PVC-252/29-ZZZ-OP-1590-120,525.0,488.40609554140127
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,TR,853,50,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,19720.0,19720.0,67236.42,0.0,69948.2,0.0,0.0,0.0,-2366.4,67581.8,3.4270689655172415,0.0,0.0,-850.04,66731.76,41246.36,0.0,26335.44,2443.06,23.57,2216.7,20802.07,5577.38,4863.28,338.41,846.82,691.49,8484.69,984.02,2572.48,1240.19,3688.0,3688.0,3712.33,-24.33,PETG-G10F22-T52-TR-853-50,526.0,241.01790669371198
