Line,Product Family,Base Polymer,Base Type,Additional Treatment,Product Group,Color Group,Width Material Attri,Thickness Material A,Uptime,Rate,Yield,Quantity Good,Run Time Hours,Net Quantity Produced,Downtime,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,EBITDA (€),Total Depreciation,EBIT,Product,EBITDA (€) Rank,EBITDA (€) / Hr
E28,PSL,PO,E88F20,ZZZ,Non-Shrink Facestock,WH,2028,50,0.83,397.51,0.7,218215.099,780.7511111111111,310354.65,162.1013888888889,241829.5,237615.5,745980.97,0.0,745980.97,0.0,0.0,-13555.14,0.0,732425.83,3.0823992121726067,0.0,0.0,-12913.68,719512.15,441611.88,0.0,290813.95,2415.11,480.05,20436.87,254568.24,20705.65,15807.39,5352.92,6172.34,10308.57,196221.37,0.0,0.0,14629.24,181592.13,181592.13,26063.89,155528.24,PP-E88F20-ZZZ-WH-2028-50,10.0,303.7877899223746
K17,Tape,PVC,240/13,ZZZ,Tape,TL,1270,45,0.96,748.66,0.88,311604.80000000005,472.2697222222222,353570.8,18.73611111111111,48623.584,48623.584,443092.51,0.0,443092.51,0.0,0.0,0.0,0.0,443092.51,9.112707734584106,0.0,0.0,-28645.58,414446.93,128252.36,0.0,314840.15,2875.33,705.1,24481.18,258132.96,26902.91,28245.71,14758.01,11044.73,2608.37,174573.23,1799.08,4190.39,3057.91,165525.85,165525.85,18263.34,147262.51,PVC-240/13-ZZZ-TL-1270-45,11.0,2548.610626090417
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Uni,OP,1640,100,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,534994.0,534994.0,1484472.99,0.0,1484472.99,0.0,-52995.69,0.0,-89068.45,1342408.85,2.5092035611614336,0.0,0.0,-30102.95,1312305.9,750453.37,0.0,591955.48,0.0,4278.27,39825.34,517748.92,61966.34,68282.47,35272.32,37584.66,16695.17,297947.96,28344.01,78735.05,33645.83,157223.07,157223.07,20770.24,136452.83,PVC-225/05-ZZZ-OP-1640-100,12.0,304.7487473865127
E27,Shrink Sleeve,PET,G10F12,T45,Shrink Sleeve,GC,605,45,0.62,1414.01,0.99,881368.022,626.9319444444445,886486.022,391.60555555555567,339489.4,337653.4,1154825.28,0.0,1154825.28,0.0,0.0,-7529.46,0.0,1147295.82,3.3978506361849163,0.0,0.0,-13723.13,1133572.69,710350.35,0.0,436945.47,27464.97,3574.77,26705.84,365476.76,56179.21,48269.76,6934.83,14222.66,7810.24,232060.06,16873.27,44110.55,21265.73,149810.51,149810.51,37919.54,111890.97,PETG-G10F12-T45-GC-605-45,13.0,627.369839146
K17,Tape,PVC,240/15,ZZZ,Tape,TL,1685,30,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,564472.7,564472.7,1454715.03,0.0,1454715.03,0.0,-4518.95,0.0,0.0,1450196.08,2.5691164160817697,0.0,0.0,-29489.43,1420706.65,894205.33,0.0,555990.75,0.0,4128.93,61706.53,460665.86,74698.69,56563.66,41806.97,35684.27,13746.75,238165.52,20885.52,48646.29,35499.7,133134.01,133134.01,21932.59,111201.42,PVC-240/15-ZZZ-TL-1685-30,14.0,238.82259646179529
E27,Shrink Sleeve,PET,G10T22,T38,Shrink Sleeve,GC,957,45,0.95,1222.63,0.99,856246.4529999999,707.5586111111112,865083.4529999999,36.16722222222222,287374.0,287046.7,876242.06,0.0,925039.98,0.0,0.0,-997.82,0.0,924042.16,3.2191352835618727,0.0,0.0,0.0,924042.16,643343.46,0.0,280698.7,25898.96,504.69,18566.03,235729.02,46780.89,40699.81,2787.77,7876.6,5966.79,131617.16,0.0,0.0,0.0,131617.16,131617.16,31531.61,100085.55,PETG-G10T22-T38-GC-957-45,15.0,560.6024675803624
K40,Dec. Surfaces/others,PVC,225/05,ZZZ,2D Drawer Wrapping Decor,DF,1590,165,0.98,1036.99,0.94,3752621.6999999997,3847.1911111111135,3989489.2999999984,59.59333333333332,119194.0,119194.0,405608.84,0.0,405608.84,0.0,0.0,0.0,0.0,405608.84,3.402930013255701,0.0,0.0,-4884.1,400724.74,153725.53,77398.65,174484.66,0.0,631.96,5769.51,163199.09,8812.58,9942.99,5093.2,5424.5,2399.03,131526.79,0.0,0.0,0.0,131526.79,131526.79,2991.96,128534.83,PVC-225/05-ZZZ-DF-1590-165,16.0,1144.2855006300654
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,409,40,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,230110.0,229999.0,822034.38,0.0,828342.83,0.0,0.0,-1388.5,0.0,826954.33,3.5954692411706137,0.0,0.0,-24101.33,802853.0,475210.53,0.0,351743.8,30654.11,2778.78,16281.93,277927.65,41381.67,34181.91,3796.92,7367.43,5024.08,186175.64,11476.93,30003.36,14464.65,130230.7,130230.7,27350.87,102879.83,PETG-G10F22-T52-GC-409-40,17.0,729.7140957917209
K10,Construction,PVC,201/01,ZZZ,Construction,GY,1000,350,0.93,1147.33,0.94,422642.40400000004,391.3325,448986.4430000002,28.68055555555556,257038.2,256917.7,642602.25,0.0,642602.25,-1687.5,-11149.74,-311.85,-12073.2,617379.96,2.403026183092874,0.0,0.0,-24681.66,592698.3,237668.18,0.0,379711.78,3238.22,782.55,17000.18,334009.17,68816.1,47565.35,15894.85,21482.87,5085.96,175164.04,9510.53,22151.57,16165.16,127336.78,127336.78,11831.15,115505.63,PVC-201/01-ZZZ-GY-1000-350,18.0,568.6541168529844
E27,Shrink Sleeve,PET,G10F12,T45,Shrink Sleeve,GC,1025,35,0.62,1414.01,0.99,881368.022,626.9319444444445,886486.022,391.60555555555567,151925.1,151925.1,554526.64,0.0,554526.64,0.0,0.0,0.0,0.0,554526.64,3.6500001645547706,0.0,0.0,-8838.01,545688.63,305320.11,0.0,249206.53,16649.22,176.36,10955.62,212587.32,23045.07,22430.81,1843.01,4836.69,3385.68,157046.06,7581.06,19818.61,9554.54,120091.85,120091.85,16692.83,103399.02,PETG-G10F12-T45-GC-1025-35,19.0,1117.7289125924551
